,Unnamed: 0,item name,Время чтения,Сложность,Количество просмотров,В закладках,Комментарии,Автор,Рейтинг автора,Время публикации,Savings_per_Views,norm_ReadingTime,hour
93,93,"Соревнования Capture The Flag (CTF) и все, что вы о них еще не знали",27,1,1500.0,11,0,@Shabaloid,9.0,2023-05-11 08:55:00,0.007333333333333333,0.3132530120481928,8
94,94,"Проблемы чипмейкеров в Китае: несмотря на господдержку, за 2 года закрылось 10 000 компаний. В чем причина?",5,",",12000.0,21,22,@Seleditor,49.0,2023-05-11 02:30:00,0.00175,0.04819277108433735,2
95,95,Swift async/await на примерах,13,",",1400.0,13,5,@kymacat,7.1,2023-05-11 00:11:00,0.009285714285714286,0.14457831325301204,0
96,96,Чем браузер Arc хорош на самом деле,7,",",10000.0,40,75,@phillennium,54.8,2023-05-10 23:33:00,0.004,0.07228915662650602,23
97,97,Mojo: Python-совместимый язык с производительностью Си — от Криса Лэттнера,4,1,20000.0,55,67,@egorwar,43.0,2023-05-10 23:06:00,0.00275,0.03614457831325301,23
98,98,Telegram Bot на Kotlin:… и в продакшн,5,2,2100.0,22,8,@InsanusMokrassar,2.0,2023-05-10 22:51:00,0.010476190476190476,0.04819277108433735,22
99,99,Вам нужен медиатор,16,2,7600.0,46,23,@OctoSinel,18.0,2023-05-10 22:03:00,0.0060526315789473685,0.18072289156626506,22
100,100,"Дешевый как автобус, удобный как такси: перспективный вид общественного транспорта для больших и средних городов. Часть3",33,2,3500.0,11,33,@Sergey_Kovalenko,18.1,2023-05-10 21:59:00,0.003142857142857143,0.3855421686746988,21
101,101,Как перестать волноваться и полюбить хакатоны,13,1,1300.0,12,3,@arinarabaeva,7.0,2023-05-10 20:31:00,0.009230769230769232,0.14457831325301204,20
102,102,Самые громкие события инфобеза за апрель 2023 года,7,",",1300.0,2,1,@TomHunter,3.0,2023-05-10 18:59:00,0.0015384615384615385,0.07228915662650602,18
103,103,Алгоритм Байеса для аналитики данных,8,2,3200.0,48,8,@MaxRokatansky,175.2,2023-05-10 18:35:00,0.015,0.08433734939759036,18
104,104,Дисперсионный анализ (ANOVA),10,1,1400.0,19,3,@MaxRokatansky,175.2,2023-05-10 18:17:00,0.013571428571428571,0.10843373493975904,18
105,105,Реализация утилиты cat на C,6,1,8700.0,45,8,@carlynmy,14.0,2023-05-10 18:13:00,0.005172413793103448,0.060240963855421686,18
106,106,Решения CTF 2023 от «Доктор Веб». Часть 2,3,",",632.0,5,1,@doctorweb,13.0,2023-05-10 18:03:00,0.007911392405063292,0.024096385542168676,18
107,107,Как мы обошли ловушки ТОРО-продукта от SAP,9,",",1700.0,5,4,@severstal,3.0,2023-05-10 17:42:00,0.0029411764705882353,0.0963855421686747,17
108,108,7 ошибок глобального рефакторинга и как их избежать,5,",",4500.0,38,5,@mixkorshun,15.0,2023-05-10 17:23:00,0.008444444444444444,0.04819277108433735,17
109,109,React: революция использования фигурных скобочек,6,1,4200.0,26,12,@TourmalineCore,8.0,2023-05-10 17:01:00,0.006190476190476191,0.060240963855421686,17
110,110,Butterflynet. Обзор приложения с JS на Android,4,2,1200.0,10,0,@sergeyrrin,6.0,2023-05-10 16:54:00,0.008333333333333333,0.03614457831325301,16
111,111,Как я приютил rust wasm при помощи yarn,4,3,2100.0,13,0,@LIMPIX31,3.0,2023-05-10 16:21:00,0.006190476190476191,0.03614457831325301,16
112,112,Почему работать с OAuth сложно даже сегодня?,10,2,11000.0,93,14,@ru_vds,657.1,2023-05-10 16:00:00,0.008454545454545454,0.10843373493975904,16
113,113,Бесплатные фронтенды к ChatGPT,5,1,16000.0,116,43,@alizar,259.1,2023-05-10 15:57:00,0.00725,0.04819277108433735,15
114,114,"Делегировать, искать подход и шутить: 11 правил жизни руководителя QA-отдела",13,1,2000.0,16,2,@redmadrobot,6.0,2023-05-10 15:52:00,0.008,0.14457831325301204,15
115,115,Торговый робот с использованием нейросетей,7,2,4200.0,47,15,@wiseplat,-6.9,2023-05-10 15:47:00,0.01119047619047619,0.07228915662650602,15
116,116,Готовые кластеры Kubernetes или самостоятельное развертывание? Что выбрать,9,1,4500.0,27,5,@lodz,36.0,2023-05-10 15:43:00,0.006,0.0963855421686747,15
117,117,Как мы подружили HR с Process Intelligence,5,1,487.0,5,0,@NataSt,15.0,2023-05-10 15:27:00,0.01026694045174538,0.04819277108433735,15
118,118,"«Упрощай, даже если команда тебя ненавидит»: Бен Броуд про разработку Marvel Snap",5,1,2400.0,5,4,@Suvitruf,52.3,2023-05-10 15:13:00,0.0020833333333333333,0.04819277108433735,15
119,119,Как структурировать проекты машинного обучения с помощью GitHub и VS Code: полная инструкция с настройками и шаблонами,10,",",933.0,24,0,@NigrumKross,9.2,2023-05-10 15:10:00,0.02572347266881029,0.10843373493975904,15
120,120,Урок на Unity. Интерактивное взаимодействие игрока с окружающими предметами в 3D с помощью меток,12,2,1200.0,18,4,@WebSerega,1.0,2023-05-10 14:59:00,0.015,0.13253012048192772,14
121,121,Беда «войти в айти» или курсы тестировщика отзывы: Список худших* курсов по числу трудоустраивающихся выпускников,8,1,9700.0,33,24,@100chuk,59.0,2023-05-10 14:47:00,0.003402061855670103,0.08433734939759036,14
122,122,Как стать iOS-разработчиком?,19,1,3000.0,46,5,@Brain89,13.0,2023-05-10 13:35:00,0.015333333333333332,0.21686746987951808,13
123,123,Как реализовать end-to-end-тестирование telegram-бота,11,2,2100.0,51,0,@beeline_cloud,19.0,2023-05-10 13:18:00,0.024285714285714285,0.12048192771084337,13
124,124,Первый опыт демонстрации программного продукта: история успеха или провала?,4,",",666.0,6,2,@AliyaTokareva,0.0,2023-05-10 13:18:00,0.009009009009009009,0.03614457831325301,13
125,125,LangChain для бывалых — память и агенты. часть 2,9,2,1300.0,7,2,@Mark_K,24.0,2023-05-10 12:21:00,0.005384615384615384,0.0963855421686747,12
126,126,RSync на стероидах с поддержкой Windows,5,2,7000.0,70,27,@ru_vds,657.1,2023-05-10 12:00:00,0.01,0.04819277108433735,12
127,127,Security Week 2319: стандарт обнаружения геометок-шпионов,4,",",1900.0,6,5,@Kaspersky_Lab,41.5,2023-05-10 11:32:00,0.003157894736842105,0.03614457831325301,11
128,128,Облегчаем жизнь разработчиков на Go: полезные советы и лайфхаки для начинающих,4,1,2600.0,32,1,@randall,10.3,2023-05-10 11:12:00,0.012307692307692308,0.03614457831325301,11
129,129,Как мы разработали российскую систему предбиллинга на замену решениям HP и Oracle,9,2,1100.0,2,1,@billing,8.0,2023-05-10 11:10:00,0.0018181818181818182,0.0963855421686747,11
130,130,Топ-10 докладов на С# конференциях 2019-2022 года,4,1,3500.0,58,0,@Polina_Alekseeva,7.0,2023-05-10 11:04:00,0.01657142857142857,0.03614457831325301,11
131,131,Spatium: цифровой завод в браузере или 3D в контексте клиент-серверных web приложений,6,1,845.0,13,0,@skifford,11.0,2023-05-10 11:04:00,0.015384615384615385,0.060240963855421686,11
132,132,Kincony KCS: фирменная прошивка для ESP32 контроллеров,8,1,5800.0,25,15,@smart_alex,29.4,2023-05-10 11:01:00,0.004310344827586207,0.08433734939759036,11
